Количество звёзд,Текст рецензии,Количество слов
1,1Не могу прочитать ни одну книгу на сайте. Есть только одни названия,12
3,"2.5Устала от детского лепета. Мне кажется, книга подойдет тем, кого это умиляет и заставляет улыбаться.",14
3,"3А я не буду ничего писать. Просто Несколько раз по пять звезд поставлю, и всё.",15
4,"4очень, запутанной, много персонажей, в которых легко запутаться, но в целом интересная книга",13
4,"4Прочитала татуировки менеджера, и сразу купила правила воспитания.Автор нравится, интересный взгляд и на жизнь, и на воспитание детей.",17
4,"3.5Полезные советы на тему здоровья, но оооочень затянуто...Бесконечно повторяется одно и тоже, книгу можно сократить до 10 страниц)",18
5,"5У меня восторг от этой книги!Брали на подарок девочке, которая ходит на фортепиано, но оставили себе, зажали",18
5,"5После первой книги, сразу же взялась за вторую и не пожалела!У меня в голове просто каша, но приятная.Книга 10/10. Советую всем!",20
5,"5Сюжет не понравился от слова совсем и слог не мой , главная героиня бесит .Книга для подростков....",15
5,5Актуальная для меня книга. Почерпнула много нового. Для меня одна из лучших по данной теме.,15
5,"5Пронзительная история людей, выбора и последствий этого выбора! И любимая Франция, Шампань, виноградники , виноделие , переплетение судеб",16
5,"5Ждем, ждем, ждем!",3
5,"5Жду книгу сильнее, чем новый год!",6
5,5Очень жду выхода книги! Тема снов и вмешательства в них меня очень интригует,13
5,ПУСТОЙ ОТЗЫВ,2
